loan_id,applicant_name,pan_number,age,gender,city,state,education,employment_status,months_employed,employment_years,annual_income_inr,annual_income_stated_inr,property_ownership,loan_amount_inr,loan_purpose,loan_grade,interest_rate,loan_term_months,estimated_emi,application_date,app_year,app_month,app_quarter,credit_score,credit_tier,num_credit_lines,num_open_accounts,num_late_payments,dti_ratio,bankruptcies,loan_to_income_ratio,emi_to_income_ratio,monthly_income,income_discrepancy_pct,income_mismatch_flag,stable_employment,risk_score_raw,risk_category,high_risk_flag,ml_default_probability,ml_risk_flag,default_status,default_label
LN1000000,Namrata Tripathi,PZVIS6649L,28.0,Female,Surat,Gujarat,Diploma,Contract/Freelance,82.0,6.8,263525.0,272316,Mortgaged,166066,Wedding Expenses,D,11.54,36,1596.0,2023-08-02,2023.0,8.0,3.0,689.0,Fair (650-699),10,12,2.0,34.5,0,0.6302,0.0727,21960.0,3.34,0,1,3.1,Medium Risk,0,0.3461,0,0,No Default
LN1000001,Varun Khanna,NVVWE0128Y,33.0,Male,Vadodara,Gujarat,Illiterate,Part-Time,39.0,3.2,434207.0,447577,Rented,232896,Wedding Expenses,E,10.53,60,2043.0,2020-08-16,2020.0,8.0,3.0,638.0,Poor (600-649),17,5,2.0,27.45,0,0.5364,0.0565,36184.0,3.08,0,1,3.19,Medium Risk,0,0.375,0,1,Default
LN1000002,Pallavi Kulkarni,XYXRF2848L,27.0,Female,Nagpur,Maharashtra,Professional Degree,Salaried,35.0,2.9,447221.0,468958,Mortgaged,187317,Education Fees,D,11.66,36,1819.0,2020-02-21,2020.0,2.0,1.0,701.0,Good (700-749),2,13,0.0,32.41,0,0.4188,0.0488,37268.0,4.86,0,1,2.11,Low Risk,0,0.1509,0,0,No Default
LN1000003,Sonali Oberoi,GHWMW5908Q,31.0,Female,Meerut,Uttar Pradesh,12th Pass,Part-Time,61.0,5.1,587468.0,687088,Company Provided,246817,Business Expansion,B,11.8,84,2426.0,2024-02-27,2024.0,2.0,1.0,771.0,Excellent (750+),6,13,1.0,45.72,0,0.4201,0.0496,48956.0,16.96,0,1,2.44,Low Risk,0,0.1309,0,1,Default
LN1000004,Jitendra Bhatt,DRNKW1939O,21.0,Male,Guwahati,Assam,Professional Degree,Retired,0.0,0.0,194830.0,186467,Mortgaged,311792,Travel,E,16.02,24,4161.0,2021-07-17,2021.0,7.0,3.0,631.0,Poor (600-649),5,2,2.0,54.17,0,1.6003,0.2563,16236.0,-4.29,0,0,4.26,Medium Risk,1,0.927,1,1,Default
LN1000005,Aditi Verma,DWECI9304G,37.0,Female,Amritsar,Punjab,Graduate,Contract/Freelance,56.0,4.7,631302.0,654579,Mortgaged,650832,Travel,E,13.03,60,7066.0,2021-05-16,2021.0,5.0,2.0,631.0,Poor (600-649),4,2,2.0,43.56,0,1.0309,0.1343,52608.0,3.69,0,1,3.8,Medium Risk,0,0.7292,1,0,No Default
LN1000006,Aakash Jadhav,TETMT0664P,35.0,Male,Surat,Gujarat,Professional Degree,Salaried,130.0,10.8,150000.0,179344,Company Provided,289291,Medical Emergency,B,10.97,36,2644.0,2021-04-02,2021.0,4.0,2.0,776.0,Excellent (750+),2,8,3.0,36.53,0,1.9286,0.2115,12500.0,19.56,0,1,3.48,Medium Risk,0,0.6684,1,1,Default
LN1000007,Seema Deshpande,JAFJA3816U,26.0,Female,Ghaziabad,Uttar Pradesh,10th Pass,Retired,60.0,5.0,303176.0,370654,Rented,119379,Business Expansion,C,14.79,72,1470.0,2020-10-12,2020.0,10.0,4.0,711.0,Good (700-749),12,5,0.0,57.47,0,0.3938,0.0582,25265.0,22.26,1,1,2.67,Low Risk,1,0.3242,0,0,No Default
LN1000008,Sangita Srinivasan,TFWIC5300J,41.0,Female,Pune,Maharashtra,Illiterate,Salaried,1.0,0.1,330061.0,423398,Mortgaged,804557,Debt Consolidation,F,12.11,24,8118.0,2024-02-17,2024.0,2.0,1.0,612.0,Poor (600-649),3,14,1.0,30.31,0,2.4376,0.2951,27505.0,28.28,1,0,3.65,Medium Risk,0,0.9471,1,1,Default
LN1000009,Pooja Pillai,LNNLR1947F,44.0,Female,Agra,Uttar Pradesh,Graduate,Self-Employed,22.0,1.8,646931.0,592354,Company Provided,201599,Consumer Durables,D,13.3,60,2233.0,2020-07-28,2020.0,7.0,3.0,693.0,Fair (650-699),6,12,1.0,50.46,0,0.3116,0.0414,53911.0,-8.44,0,0,2.97,Low Risk,1,0.2608,0,0,No Default
