loan_id,applicant_name,pan_number,age,gender,city,state,education,employment_status,months_employed,annual_income_inr,annual_income_stated_inr,property_ownership,loan_id_duplicate,loan_amount_inr,loan_purpose,loan_grade,interest_rate,loan_term_months,application_date,credit_score,num_credit_lines,num_open_accounts,num_late_payments,dti_ratio,bankruptcies,loan_to_income_ratio,default_status,default_label
LN1000000,Namrata Tripathi,PZVIS6649L,28,Female,Surat,Gujarat,Diploma,Contract/Freelance,82,263525,272316,Mortgaged,LN1000000,166066,Wedding Expenses,D,11.54,36,2023-08-02,689,10,12,2,34.5,0,0.6302,0,No Default
LN1000001,Varun Khanna,NVVWE0128Y,33,Male,Vadodara,Gujarat,Illiterate,Part-Time,39,434207,447577,Rented,LN1000001,232896,Wedding Expenses,E,10.53,60,2020-08-16,638,17,5,2,27.45,0,0.5364,1,Default
LN1000002,Pallavi Kulkarni,XYXRF2848L,27,Female,Nagpur,Maharashtra,Professional Degree,Salaried,35,447221,468958,Mortgaged,LN1000002,187317,Education Fees,D,11.66,36,2020-02-21,701,2,13,0,32.41,0,0.4188,0,No Default
LN1000003,Sonali Oberoi,GHWMW5908Q,31,Female,Meerut,Uttar Pradesh,12th Pass,Part-Time,61,587468,687088,Company Provided,LN1000003,246817,Business Expansion,B,11.8,84,2024-02-27,771,6,13,1,45.72,0,0.4201,1,Default
LN1000004,Jitendra Bhatt,DRNKW1939O,21,Male,Guwahati,Assam,Professional Degree,Retired,0,194830,186467,Mortgaged,LN1000004,311792,Travel,E,16.02,24,2021-07-17,631,5,2,2,54.17,0,1.6003,1,Default
LN1000005,Aditi Verma,DWECI9304G,37,Female,Amritsar,Punjab,Graduate,Contract/Freelance,56,631302,654579,Mortgaged,LN1000005,650832,Travel,E,13.03,60,2021-05-16,631,4,2,2,43.56,0,1.0309,0,No Default
LN1000006,Aakash Jadhav,TETMT0664P,35,Male,Surat,Gujarat,Professional Degree,Salaried,130,150000,179344,Company Provided,LN1000006,289291,Medical Emergency,B,10.97,36,2021-04-02,776,2,8,3,36.53,0,1.9286,1,Default
LN1000007,Seema Deshpande,JAFJA3816U,26,Female,Ghaziabad,Uttar Pradesh,10th Pass,Retired,60,303176,370654,Rented,LN1000007,119379,Business Expansion,C,14.79,72,2020-10-12,711,12,5,0,57.47,0,0.3938,0,No Default
LN1000008,Sangita Srinivasan,TFWIC5300J,41,Female,Pune,Maharashtra,Illiterate,Salaried,1,330061,423398,Mortgaged,LN1000008,804557,Debt Consolidation,F,12.11,24,2024-02-17,612,3,14,1,30.31,0,2.4376,1,Default
LN1000009,Pooja Pillai,LNNLR1947F,44,Female,Agra,Uttar Pradesh,Graduate,Self-Employed,22,646931,592354,Company Provided,LN1000009,201599,Consumer Durables,D,13.3,60,2020-07-28,693,6,12,1,50.46,0,0.3116,0,No Default
